style_name,clip_id,same_input_frame_ratio,all_frames_same
kandinsky,clip1_park,1.0,1
kandinsky,clip2_ocean,1.0,1
kandinsky,clip3_city_flow,1.0,1
kandinsky,clip4_pedestrian,1.0,1
kandinsky,clip5_market,1.0,1
kandinsky,clip6_traffic,1.0,1
picasso_figure_947,clip1_park,1.0,1
picasso_figure_947,clip2_ocean,1.0,1
picasso_figure_947,clip3_city_flow,1.0,1
picasso_figure_947,clip4_pedestrian,1.0,1
picasso_figure_947,clip5_market,1.0,1
picasso_figure_947,clip6_traffic,1.0,1
picasso_window_716,clip1_park,1.0,1
picasso_window_716,clip2_ocean,1.0,1
picasso_window_716,clip3_city_flow,1.0,1
picasso_window_716,clip4_pedestrian,1.0,1
picasso_window_716,clip5_market,1.0,1
picasso_window_716,clip6_traffic,1.0,1
starry_night,clip1_park,1.0,1
starry_night,clip2_ocean,1.0,1
starry_night,clip3_city_flow,1.0,1
starry_night,clip4_pedestrian,1.0,1
starry_night,clip5_market,1.0,1
starry_night,clip6_traffic,1.0,1
